assumption_id,applies_to_dataset,source_asset_type,source_technology_pattern,class,subclass,capacity_min_mw,capacity_max_mw,pypsa_technology,fuel_technology,committable,minimum_output_pu,ramp_up_pu_per_hour,ramp_down_pu_per_hour,minimum_up_time_h,minimum_down_time_h,startup_time_h,efficiency_override,startup_cost_eur_per_mw,shutdown_cost_eur_per_mw,technical_source,economic_source,technical_quality,economic_quality,technical_notes,economic_notes
coal_lt_300,generation,coal,.*,coal,,0,300,coal,coal,True,0.40,0.20,0.20,4,4,5,,195,0,https://www.dispaset.eu/en/latest/data.html,https://github.com/energy-modelling-toolkit/Dispa-SET/tree/master/Database/PowerPlants,generic,generic,"Capacity-bin assumption; calibrate against Chinese unit data before production use.","Startup proxy from the Dispa-SET German hard-coal sample."
coal_300_600,generation,coal,.*,coal,,300,600,coal,coal,True,0.35,0.15,0.15,6,5,6,,195,0,https://www.dispaset.eu/en/latest/data.html,https://github.com/energy-modelling-toolkit/Dispa-SET/tree/master/Database/PowerPlants,generic,generic,"Capacity-bin assumption; calibrate against Chinese unit data before production use.","Startup proxy from the Dispa-SET German hard-coal sample."
coal_ge_600,generation,coal,.*,coal,,600,,coal,coal,True,0.30,0.10,0.10,8,6,7,,195,0,https://www.dispaset.eu/en/latest/data.html,https://github.com/energy-modelling-toolkit/Dispa-SET/tree/master/Database/PowerPlants,generic,generic,"Capacity-bin assumption; calibrate against Chinese unit data before production use.","Startup proxy from the Dispa-SET German hard-coal sample."
gas_combined_cycle,generation,natural_gas,combined cycle,gas,combined_cycle,0,,CCGT,gas,True,0.40,0.70,0.70,5,1,1,,350,0,https://www.dispaset.eu/en/latest/data.html,https://github.com/energy-modelling-toolkit/Dispa-SET/tree/master/Database/PowerPlants,generic,generic,"Dispa-SET COMC baseline.","Startup proxy from the Dispa-SET COMC sample."
gas_turbine,generation,natural_gas,gas turbine,gas,gas_turbine,0,,OCGT,gas,True,0.20,1.00,1.00,1,1,0.25,,100,0,https://www.dispaset.eu/en/latest/data.html,https://github.com/energy-modelling-toolkit/Dispa-SET/tree/master/Database/PowerPlants,generic,low,"Open-cycle gas-turbine proxy.","OCGT startup proxy; the downloaded sample does not contain a separate OCGT fleet."
gas_fallback,generation,natural_gas,.*,gas,,0,,CCGT,gas,True,0.40,0.50,0.50,4,2,2,,350,0,https://www.dispaset.eu/en/latest/data.html,https://github.com/energy-modelling-toolkit/Dispa-SET/tree/master/Database/PowerPlants,generic,generic,"Fallback for steam-turbine or unknown gas technology.","Fallback for steam-turbine or unknown gas technology."
other_oil_gas,generation,other_oil_gas,.*,other,,0,,oil,oil,True,0.30,0.60,0.60,4,3,2,,111,0,https://www.dispaset.eu/en/latest/data.html,https://github.com/energy-modelling-toolkit/Dispa-SET/tree/master/Database/PowerPlants,generic,generic,"Dispa-SET oil steam-turbine proxy.","Startup proxy from the Dispa-SET oil steam-turbine sample."
bioenergy,generation,bioenergy,.*,bioenergy,,0,,biomass,biomass,True,0.20,0.20,0.20,8,6,7,,50,0,https://www.dispaset.eu/en/latest/data.html,https://github.com/energy-modelling-toolkit/Dispa-SET/tree/master/Database/PowerPlants,generic,low,"Generic steam-cycle bioenergy assumption.","Generic startup proxy; calibrate for the actual steam cycle."
nuclear,generation,nuclear,.*,nuclear,,0,,nuclear,nuclear,True,0.80,0.05,0.05,24,24,24,,143,0,https://www.dispaset.eu/en/latest/data.html,https://github.com/energy-modelling-toolkit/Dispa-SET/tree/master/Database/PowerPlants,generic,generic,"Conservative baseload assumption; not a plant-specific Chinese operating limit.","Startup proxy from the Dispa-SET nuclear sample."
utility_scale_solar,generation,utility_scale_solar,.*,solar,utility_scale_pv,0,,solar-utility,,False,0,1.00,1.00,0,0,0,,0,0,,https://github.com/PyPSA/technology-data,resource_limited,pypsa,"Dispatch is constrained by an hourly availability profile rather than thermal commitment limits.","PyPSA technology-data supplies investment and O&M assumptions."
solar_thermal,generation,solar_thermal,.*,solar,solar_thermal,0,,solar_thermal_nrel,,True,0.20,1.00,1.00,1,1,1,0.38,0,0,https://atb.nrel.gov/electricity/2024/concentrating_solar_power,https://atb.nrel.gov/electricity/2024/concentrating_solar_power,low,nrel_2024,"Power-tower proxy with thermal storage; GEM does not report storage hours.","2022-dollar NREL ATB values are converted in the notebook with 0.92 EUR/USD."
onshore_wind,generation,onshore_wind,.*,wind,onshore,0,,onwind,,False,0,1.00,1.00,0,0,0,,0,0,,https://github.com/PyPSA/technology-data,resource_limited,pypsa,"Dispatch is constrained by an hourly availability profile.","PyPSA technology-data supplies investment and O&M assumptions."
offshore_wind,generation,offshore_wind,.*,wind,offshore_fixed,0,,offwind,,False,0,1.00,1.00,0,0,0,,0,0,,https://github.com/PyPSA/technology-data,resource_limited,pypsa,"Dispatch is constrained by an hourly availability profile.","Fixed-bottom offshore wind proxy; floating units require offwind-float."
geothermal,generation,geothermal,.*,geothermal,,0,,geothermal_nrel,,True,0.40,0.20,0.20,8,8,4,,0,0,https://www.dispaset.eu/en/latest/data.html,https://docs.nlr.gov/docs/fy25osti/92145.pdf,generic,nrel_2023,"Generic dispatchable geothermal assumption.","Hydrothermal-binary proxy because PyPSA technology-data lacks electric geothermal CAPEX."
reservoir_hydropower,generation,reservoir_hydropower,.*,hydropower,reservoir,0,,hydro,,False,0,1.00,1.00,0,0,0,,0,0,https://www.dispaset.eu/en/latest/data.html,https://github.com/PyPSA/technology-data,generic,pypsa,"Continuous dispatch with a hydrological availability profile; reservoir energy and water balance remain to be modeled.","Reservoir hydropower proxy."
run_of_river_hydropower,generation,run_of_river_hydropower,.*,hydropower,run_of_river,0,,ror,,False,0,1.00,1.00,0,0,0,,0,0,https://www.dispaset.eu/en/latest/data.html,https://github.com/PyPSA/technology-data,resource_limited,pypsa,"Hourly output requires an inflow or availability profile.","Run-of-river hydropower proxy."
pumped_storage,storage,pumped_storage,.*,pumped_storage,pumped_hydro,0,,PHS,,True,0,1.00,1.00,0,0,0,,0,0,https://www.dispaset.eu/en/latest/data.html,https://github.com/PyPSA/technology-data,generic,pypsa,"Energy capacity and charging power must be supplied separately.","Pumped-storage power-component proxy."
other_hydropower,generation,other_hydropower,.*,hydropower,,0,,hydro,,False,0,1.00,1.00,0,0,0,,0,0,https://www.dispaset.eu/en/latest/data.html,https://github.com/PyPSA/technology-data,low,low,"Continuous resource-limited proxy until GEM hydropower technology is resolved.","Fallback until GEM hydropower technology is resolved."
