generation_type,technology_pattern,capacity_min_mw,capacity_max_mw,committable,minimum_output_pu,ramp_up_pu_per_hour,ramp_down_pu_per_hour,minimum_up_time_h,minimum_down_time_h,startup_time_h,efficiency_override,source,assumption_quality,notes
coal,.*,0,300,True,0.40,0.20,0.20,4,4,5,,https://www.dispaset.eu/en/latest/data.html,generic,"Capacity-bin assumption; calibrate against Chinese unit data before production use."
coal,.*,300,600,True,0.35,0.15,0.15,6,5,6,,https://www.dispaset.eu/en/latest/data.html,generic,"Capacity-bin assumption; calibrate against Chinese unit data before production use."
coal,.*,600,,True,0.30,0.10,0.10,8,6,7,,https://www.dispaset.eu/en/latest/data.html,generic,"Capacity-bin assumption; calibrate against Chinese unit data before production use."
natural_gas,combined cycle,0,,True,0.40,0.70,0.70,5,1,1,,https://www.dispaset.eu/en/latest/data.html,generic,"Dispa-SET COMC baseline."
natural_gas,gas turbine,0,,True,0.20,1.00,1.00,1,1,0.25,,https://www.dispaset.eu/en/latest/data.html,generic,"Open-cycle gas-turbine proxy."
natural_gas,.*,0,,True,0.40,0.50,0.50,4,2,2,,https://www.dispaset.eu/en/latest/data.html,generic,"Fallback for steam-turbine or unknown gas technology."
other_oil_gas,.*,0,,True,0.30,0.60,0.60,4,3,2,,https://www.dispaset.eu/en/latest/data.html,generic,"Dispa-SET oil steam-turbine proxy."
bioenergy,.*,0,,True,0.20,0.20,0.20,8,6,7,,https://www.dispaset.eu/en/latest/data.html,generic,"Generic steam-cycle bioenergy assumption."
nuclear,.*,0,,True,0.80,0.05,0.05,24,24,24,,https://www.dispaset.eu/en/latest/data.html,generic,"Conservative baseload assumption; not a plant-specific Chinese operating limit."
utility_scale_solar,.*,0,,False,0,1.00,1.00,0,0,0,,,resource_limited,"Dispatch is constrained by an hourly availability profile rather than thermal commitment limits."
solar_thermal,.*,0,,True,0.20,1.00,1.00,1,1,1,0.38,https://atb.nrel.gov/electricity/2024/concentrating_solar_power,low,"Power-tower proxy with thermal storage; GEM does not report storage hours."
onshore_wind,.*,0,,False,0,1.00,1.00,0,0,0,,,resource_limited,"Dispatch is constrained by an hourly availability profile."
offshore_wind,.*,0,,False,0,1.00,1.00,0,0,0,,,resource_limited,"Dispatch is constrained by an hourly availability profile."
geothermal,.*,0,,True,0.40,0.20,0.20,8,8,4,,https://www.dispaset.eu/en/latest/data.html,generic,"Generic dispatchable geothermal assumption."
reservoir_hydropower,.*,0,,False,0,1.00,1.00,0,0,0,,https://www.dispaset.eu/en/latest/data.html,generic,"Continuous dispatch with a hydrological availability profile; reservoir energy and water balance remain to be modeled."
run_of_river_hydropower,.*,0,,False,0,1.00,1.00,0,0,0,,https://www.dispaset.eu/en/latest/data.html,resource_limited,"Hourly output requires an inflow or availability profile."
pumped_storage,.*,0,,True,0,1.00,1.00,0,0,0,,https://www.dispaset.eu/en/latest/data.html,generic,"Energy capacity and charging power must be supplied separately."
other_hydropower,.*,0,,False,0,1.00,1.00,0,0,0,,https://www.dispaset.eu/en/latest/data.html,low,"Continuous resource-limited proxy until GEM hydropower technology is resolved."
