generation_type,technology_pattern,pypsa_technology,fuel_technology,startup_cost_eur_per_mw,shutdown_cost_eur_per_mw,source,assumption_quality,notes
coal,.*,coal,coal,195,0,https://github.com/energy-modelling-toolkit/Dispa-SET/tree/master/Database/PowerPlants,generic,"Startup proxy from the Dispa-SET German hard-coal sample."
natural_gas,combined cycle,CCGT,gas,350,0,https://github.com/energy-modelling-toolkit/Dispa-SET/tree/master/Database/PowerPlants,generic,"Startup proxy from the Dispa-SET COMC sample."
natural_gas,gas turbine,OCGT,gas,100,0,https://github.com/energy-modelling-toolkit/Dispa-SET/tree/master/Database/PowerPlants,low,"OCGT startup proxy; the downloaded sample does not contain a separate OCGT fleet."
natural_gas,.*,CCGT,gas,350,0,https://github.com/energy-modelling-toolkit/Dispa-SET/tree/master/Database/PowerPlants,generic,"Fallback for steam-turbine or unknown gas technology."
other_oil_gas,.*,oil,oil,111,0,https://github.com/energy-modelling-toolkit/Dispa-SET/tree/master/Database/PowerPlants,generic,"Startup proxy from the Dispa-SET oil steam-turbine sample."
bioenergy,.*,biomass,biomass,50,0,https://github.com/energy-modelling-toolkit/Dispa-SET/tree/master/Database/PowerPlants,low,"Generic startup proxy; calibrate for the actual steam cycle."
nuclear,.*,nuclear,nuclear,143,0,https://github.com/energy-modelling-toolkit/Dispa-SET/tree/master/Database/PowerPlants,generic,"Startup proxy from the Dispa-SET nuclear sample."
utility_scale_solar,.*,solar-utility,,0,0,https://github.com/PyPSA/technology-data,pypsa,"PyPSA technology-data supplies investment and O&M assumptions."
solar_thermal,.*,solar_thermal_nrel,,0,0,https://atb.nrel.gov/electricity/2024/concentrating_solar_power,nrel_2024,"2022-dollar NREL ATB values are converted in the notebook with 0.92 EUR/USD."
onshore_wind,.*,onwind,,0,0,https://github.com/PyPSA/technology-data,pypsa,"PyPSA technology-data supplies investment and O&M assumptions."
offshore_wind,.*,offwind,,0,0,https://github.com/PyPSA/technology-data,pypsa,"Fixed-bottom offshore wind proxy; floating units require offwind-float."
geothermal,.*,geothermal_nrel,,0,0,https://docs.nlr.gov/docs/fy25osti/92145.pdf,nrel_2023,"Hydrothermal-binary proxy because PyPSA technology-data lacks electric geothermal CAPEX."
reservoir_hydropower,.*,hydro,,0,0,https://github.com/PyPSA/technology-data,pypsa,"Reservoir hydropower proxy."
run_of_river_hydropower,.*,ror,,0,0,https://github.com/PyPSA/technology-data,pypsa,"Run-of-river hydropower proxy."
pumped_storage,.*,PHS,,0,0,https://github.com/PyPSA/technology-data,pypsa,"Pumped-storage power-component proxy."
other_hydropower,.*,hydro,,0,0,https://github.com/PyPSA/technology-data,low,"Fallback until GEM hydropower technology is resolved."
