rule_id,priority,source,source_type_pattern,technology_pattern,fuel_pattern,dataset,class,subclass
gem_storage_mixed_hydro,10,gem,^hydropower$,^conventional and pumped storage$,.*,storage,pumped_storage,mixed_conventional_pumped_hydro
gem_storage_pumped_hydro,20,gem,^hydropower$,^pumped storage$,.*,storage,pumped_storage,pumped_hydro
gem_coal_igcc,30,gem,^coal$,^IGCC$,.*,generator,coal,igcc
gem_coal_subcritical,40,gem,^coal$,^subcritical(?:/CCS)?$,.*,generator,coal,subcritical
gem_coal_supercritical,50,gem,^coal$,^supercritical(?:/CCS)?$,.*,generator,coal,supercritical
gem_coal_ultra_supercritical,60,gem,^coal$,^ultra-supercritical(?:/CCS)?$,.*,generator,coal,ultra_supercritical
gem_gas_combined_cycle,70,gem,^oil/gas$,^combined cycle$,.*(?:gas|LNG|methane).*,generator,gas,combined_cycle
gem_gas_turbine,80,gem,^oil/gas$,^gas turbine$,.*(?:gas|LNG|methane).*,generator,gas,gas_turbine
gem_gas_steam_turbine,90,gem,^oil/gas$,^steam turbine$,.*(?:gas|LNG|methane).*,generator,gas,steam_turbine
gem_gas_internal_combustion,100,gem,^oil/gas$,^internal combustion$,.*(?:gas|LNG|methane).*,generator,gas,internal_combustion
gem_gas_unknown,110,gem,^oil/gas$,^unknown$,.*(?:gas|LNG|methane).*,generator,gas,
gem_other_combined_cycle,120,gem,^oil/gas$,^combined cycle$,.*,generator,other,oil_combined_cycle
gem_other_gas_turbine,130,gem,^oil/gas$,^gas turbine$,.*,generator,other,oil_gas_turbine
gem_other_steam_turbine,140,gem,^oil/gas$,^steam turbine$,.*,generator,other,oil_steam_turbine
gem_other_internal_combustion,150,gem,^oil/gas$,^internal combustion$,.*,generator,other,oil_internal_combustion
gem_bioenergy_municipal_waste,160,gem,^bioenergy$,,.*municipal.*|.*industrial wastes.*,generator,bioenergy,municipal_waste
gem_bioenergy_biogas,170,gem,^bioenergy$,,.*agricultural waste.*biogas.*,generator,bioenergy,biogas
